,n_total,n_fd,n_nofd,n_train_full,n_train_quantum,n_test,n_qubits,reps,C,min_magn,auc_rbf_full,acc_rbf_full,auc_rbf_sub,acc_rbf_sub,auc_qsvm,acc_qsvm,delta_auc_fair,delta_auc_full,File
0,5942,2971,2971,4456,100,1486,4,1,1.0,0.0,0.8613266213687553,0.8223418573351279,0.8535564777764293,0.8156123822341858,0.7984128220502165,0.7288021534320323,-0.0551436557262128,-0.0629137993185388,Results/exp_0.0_4_1_100.csv
0,5942,2971,2971,4456,150,1486,4,1,1.0,0.0,0.8613266213687553,0.8223418573351279,0.8552211850759625,0.8156123822341858,0.7865651418624072,0.7267833109017496,-0.0686560432135552,-0.074761479506348,Results/exp_0.0_4_1_150.csv
0,5942,2971,2971,4456,200,1486,4,1,1.0,0.0,0.8613266213687553,0.8223418573351279,0.8533409172011904,0.8156123822341858,0.8086918009089772,0.7362045760430687,-0.0446491162922132,-0.052634820459778,Results/exp_0.0_4_1_200.csv
0,5942,2971,2971,4456,250,1486,4,1,1.0,0.0,0.8613266213687553,0.8223418573351279,0.8535582892098347,0.8142664872139973,0.8170896061762634,0.7456258411843876,-0.0364686830335713,-0.0442370151924919,Results/exp_0.0_4_1_250.csv
0,5942,2971,2971,4456,50,1486,4,1,1.0,0.0,0.8613266213687553,0.8223418573351279,0.8523799517796428,0.8088829071332436,0.7384072790639962,0.6608344549125168,-0.1139726727156466,-0.1229193423047591,Results/exp_0.0_4_1_50.csv
0,5942,2971,2971,4456,100,1486,4,2,1.0,0.0,0.8613266213687553,0.8223418573351279,0.8535564777764293,0.8156123822341858,0.7409396629647005,0.6628532974427994,-0.1126168148117288,-0.1203869584040547,Results/exp_0.0_4_2_100.csv
0,5942,2971,2971,4456,150,1486,4,2,1.0,0.0,0.8613266213687553,0.8223418573351279,0.8552211850759625,0.8156123822341858,0.727484335629627,0.6675639300134589,-0.1277368494463354,-0.1338422857391282,Results/exp_0.0_4_2_150.csv
0,5942,2971,2971,4456,200,1486,4,2,1.0,0.0,0.8613266213687553,0.8223418573351279,0.8533409172011904,0.8156123822341858,0.7739186195428305,0.6971736204576043,-0.0794222976583599,-0.0874080018259247,Results/exp_0.0_4_2_200.csv
0,5942,2971,2971,4456,250,1486,4,2,1.0,0.0,0.8613266213687553,0.8223418573351279,0.8535582892098347,0.8142664872139973,0.7714858644794211,0.7065948855989233,-0.0820724247304135,-0.0898407568893341,Results/exp_0.0_4_2_250.csv
0,5942,2971,2971,4456,50,1486,4,2,1.0,0.0,0.8613266213687553,0.8223418573351279,0.8523799517796428,0.8088829071332436,0.6748975181550914,0.6029609690444145,-0.1774824336245514,-0.1864291032136639,Results/exp_0.0_4_2_50.csv
0,5942,2971,2971,4456,100,1486,4,3,1.0,0.0,0.8613266213687553,0.8223418573351279,0.8535564777764293,0.8156123822341858,0.755108695061489,0.6830417227456258,-0.0984477827149402,-0.1062179263072662,Results/exp_0.0_4_3_100.csv
0,5942,2971,2971,4456,150,1486,4,3,1.0,0.0,0.8613266213687553,0.8223418573351279,0.8552211850759625,0.8156123822341858,0.7330182646830264,0.6635262449528937,-0.122202920392936,-0.1283083566857288,Results/exp_0.0_4_3_150.csv
0,5942,2971,2971,4456,200,1486,4,3,1.0,0.0,0.8613266213687553,0.8223418573351279,0.8533409172011904,0.8156123822341858,0.7702631469307979,0.6965006729475101,-0.0830777702703925,-0.0910634744379573,Results/exp_0.0_4_3_200.csv
0,5942,2971,2971,4456,250,1486,4,3,1.0,0.0,0.8613266213687553,0.8223418573351279,0.8535582892098347,0.8142664872139973,0.7483900885609791,0.6783310901749664,-0.1051682006488555,-0.1129365328077761,Results/exp_0.0_4_3_250.csv
0,5942,2971,2971,4456,50,1486,4,3,1.0,0.0,0.8613266213687553,0.8223418573351279,0.8523799517796428,0.8088829071332436,0.6546773927676709,0.6029609690444145,-0.1977025590119718,-0.2066492286010843,Results/exp_0.0_4_3_50.csv
0,5942,2971,2971,4456,100,1486,6,1,1.0,0.0,0.8627259536744021,0.823014804845222,0.8505984070254633,0.8129205921938089,0.7959148553842141,0.7227456258411844,-0.0546835516412491,-0.0668110982901879,Results/exp_0.0_6_1_100.csv
0,5942,2971,2971,4456,150,1486,6,1,1.0,0.0,0.8627259536744021,0.823014804845222,0.8532485340975167,0.8176312247644684,0.7966702231142526,0.7335127860026918,-0.056578310983264,-0.0660557305601494,Results/exp_0.0_6_1_150.csv
0,5942,2971,2971,4456,200,1486,6,1,1.0,0.0,0.8627259536744021,0.823014804845222,0.8500567884372583,0.8156123822341858,0.8190332742202232,0.7476446837146703,-0.031023514217035,-0.0436926794541788,Results/exp_0.0_6_1_200.csv
0,5942,2971,2971,4456,250,1486,6,1,1.0,0.0,0.8627259536744021,0.823014804845222,0.8514986894279312,0.8142664872139973,0.8365742896011042,0.7759084791386271,-0.0149243998268269,-0.0261516640732978,Results/exp_0.0_6_1_250.csv
0,5942,2971,2971,4456,50,1486,6,1,1.0,0.0,0.8627259536744021,0.823014804845222,0.8499227423652611,0.8034993270524899,0.7473521372197033,0.6480484522207268,-0.1025706051455578,-0.1153738164546988,Results/exp_0.0_6_1_50.csv
0,5942,2971,2971,4456,100,1486,6,2,1.0,0.0,0.8627259536744021,0.823014804845222,0.8505984070254633,0.8129205921938089,0.73111625960739,0.6386271870794078,-0.1194821474180732,-0.131609694067012,Results/exp_0.0_6_2_100.csv
0,5942,2971,2971,4456,150,1486,6,2,1.0,0.0,0.8627259536744021,0.823014804845222,0.8532485340975167,0.8176312247644684,0.7448849649215922,0.6776581426648721,-0.1083635691759244,-0.1178409887528099,Results/exp_0.0_6_2_150.csv
0,5942,2971,2971,4456,200,1486,6,2,1.0,0.0,0.8627259536744021,0.823014804845222,0.8500567884372583,0.8156123822341858,0.780337433814752,0.7092866756393001,-0.0697193546225063,-0.0823885198596501,Results/exp_0.0_6_2_200.csv
0,5942,2971,2971,4456,250,1486,6,2,1.0,0.0,0.8627259536744021,0.823014804845222,0.8514986894279312,0.8142664872139973,0.8246623035274042,0.7422611036339165,-0.0268363859005269,-0.0380636501469978,Results/exp_0.0_6_2_250.csv
0,5942,2971,2971,4456,50,1486,6,2,1.0,0.0,0.8627259536744021,0.823014804845222,0.8499227423652611,0.8034993270524899,0.7041249961507041,0.6325706594885598,-0.145797746214557,-0.1586009575236979,Results/exp_0.0_6_2_50.csv
0,5942,2971,2971,4456,100,1486,6,3,1.0,0.0,0.8627259536744021,0.823014804845222,0.8505984070254633,0.8129205921938089,0.7371102927457527,0.6433378196500673,-0.1134881142797106,-0.1256156609286494,Results/exp_0.0_6_3_100.csv
0,5942,2971,2971,4456,150,1486,6,3,1.0,0.0,0.8627259536744021,0.823014804845222,0.8532485340975167,0.8176312247644684,0.7421940805979179,0.6615074024226111,-0.1110544534995987,-0.1205318730764841,Results/exp_0.0_6_3_150.csv
0,5942,2971,2971,4456,200,1486,6,3,1.0,0.0,0.8627259536744021,0.823014804845222,0.8500567884372583,0.8156123822341858,0.7363005820135532,0.6594885598923284,-0.1137562064237051,-0.1264253716608488,Results/exp_0.0_6_3_200.csv
0,5942,2971,2971,4456,250,1486,6,3,1.0,0.0,0.8627259536744021,0.823014804845222,0.8514986894279312,0.8142664872139973,0.7723752782814569,0.6796769851951547,-0.0791234111464742,-0.0903506753929451,Results/exp_0.0_6_3_250.csv
0,5942,2971,2971,4456,50,1486,6,3,1.0,0.0,0.8627259536744021,0.823014804845222,0.8499227423652611,0.8034993270524899,0.6949057058340835,0.6184387617765814,-0.1550170365311776,-0.1678202478403185,Results/exp_0.0_6_3_50.csv
0,5942,2971,2971,4456,100,1486,8,1,1.0,0.0,0.90487619758391,0.8344549125168237,0.8657211588101781,0.8176312247644684,0.7650480301567433,0.6386271870794078,-0.1006731286534348,-0.1398281674271666,Results/exp_0.0_8_1_100.csv
0,5942,2971,2971,4456,150,1486,8,1,1.0,0.0,0.90487619758391,0.8344549125168237,0.8734759052185586,0.8250336473755047,0.7706824937641404,0.6870794078061911,-0.1027934114544181,-0.1341937038197694,Results/exp_0.0_8_1_150.csv
0,5942,2971,2971,4456,200,1486,8,1,1.0,0.0,0.90487619758391,0.8344549125168237,0.8648888051604113,0.8169582772543742,0.8202360660013875,0.7388963660834454,-0.0446527391590237,-0.0846401315825223,Results/exp_0.0_8_1_200.csv
0,5942,2971,2971,4456,250,1486,8,1,1.0,0.0,0.90487619758391,0.8344549125168237,0.8723138706890149,0.8216689098250336,0.823006653394898,0.7489905787348586,-0.0493072172941169,-0.0818695441890119,Results/exp_0.0_8_1_250.csv
0,5942,2971,2971,4456,50,1486,8,1,1.0,0.0,0.90487619758391,0.8344549125168237,0.8587697831170784,0.8162853297442799,0.750242279217968,0.6554508748317631,-0.1085275038991103,-0.1546339183659418,Results/exp_0.0_8_1_50.csv
0,5942,2971,2971,4456,100,1486,8,2,1.0,0.0,0.90487619758391,0.8344549125168237,0.8657211588101781,0.8176312247644684,0.7405610733829786,0.6036339165545087,-0.1251600854271994,-0.1643151242009313,Results/exp_0.0_8_2_100.csv
0,5942,2971,2971,4456,150,1486,8,2,1.0,0.0,0.90487619758391,0.8344549125168237,0.8734759052185586,0.8250336473755047,0.7320862821959645,0.6493943472409152,-0.141389623022594,-0.1727899153879454,Results/exp_0.0_8_2_150.csv
0,5942,2971,2971,4456,200,1486,8,2,1.0,0.0,0.90487619758391,0.8344549125168237,0.8648888051604113,0.8169582772543742,0.7734132296227326,0.6689098250336474,-0.0914755755376787,-0.1314629679611773,Results/exp_0.0_8_2_200.csv
0,5942,2971,2971,4456,250,1486,8,2,1.0,0.0,0.90487619758391,0.8344549125168237,0.8723138706890149,0.8216689098250336,0.8052446431385619,0.6911170928667564,-0.0670692275504529,-0.0996315544453479,Results/exp_0.0_8_2_250.csv
0,5942,2971,2971,4456,50,1486,8,2,1.0,0.0,0.90487619758391,0.8344549125168237,0.8587697831170784,0.8162853297442799,0.6977179561959174,0.6123822341857336,-0.161051826921161,-0.2071582413879925,Results/exp_0.0_8_2_50.csv
0,5942,2971,2971,4456,100,1486,8,3,1.0,0.0,0.90487619758391,0.8344549125168237,0.8657211588101781,0.8176312247644684,0.7319785019083451,0.6211305518169583,-0.1337426569018329,-0.1728976956755648,Results/exp_0.0_8_3_100.csv
0,5942,2971,2971,4456,150,1486,8,3,1.0,0.0,0.90487619758391,0.8344549125168237,0.8734759052185586,0.8250336473755047,0.7196698119188695,0.6318977119784657,-0.153806093299689,-0.1852063856650404,Results/exp_0.0_8_3_150.csv
0,5942,2971,2971,4456,200,1486,8,3,1.0,0.0,0.90487619758391,0.8344549125168237,0.8648888051604113,0.8169582772543742,0.7441295971915536,0.654777927321669,-0.1207592079688577,-0.1607466003923563,Results/exp_0.0_8_3_200.csv
0,5942,2971,2971,4456,250,1486,8,3,1.0,0.0,0.90487619758391,0.8344549125168237,0.8723138706890149,0.8216689098250336,0.7614224461958992,0.6641991924629879,-0.1108914244931157,-0.1434537513880107,Results/exp_0.0_8_3_250.csv
0,5942,2971,2971,4456,50,1486,8,3,1.0,0.0,0.90487619758391,0.8344549125168237,0.8587697831170784,0.8162853297442799,0.6853721318216318,0.6083445491251682,-0.1733976512954466,-0.2195040657622781,Results/exp_0.0_8_3_50.csv
0,380,190,190,285,100,95,4,1,1.0,3.0,0.9242021276595744,0.9052631578947368,0.9179964539007092,0.8736842105263158,0.8816489361702128,0.8736842105263158,-0.0363475177304963,-0.0425531914893617,Results/exp_3.0_4_1_100.csv
0,380,190,190,285,150,95,4,1,1.0,3.0,0.9242021276595744,0.9052631578947368,0.9206560283687945,0.8947368421052632,0.9042553191489362,0.8736842105263158,-0.0164007092198581,-0.0199468085106383,Results/exp_3.0_4_1_150.csv
0,380,190,190,285,200,95,4,1,1.0,3.0,0.9242021276595744,0.9052631578947368,0.9250886524822696,0.9052631578947368,0.9029255319148936,0.8736842105263158,-0.0221631205673757,-0.0212765957446808,Results/exp_3.0_4_1_200.csv
0,380,190,190,285,250,95,4,1,1.0,3.0,0.9242021276595744,0.9052631578947368,0.922872340425532,0.8947368421052632,0.8940602836879433,0.8736842105263158,-0.0288120567375885,-0.0301418439716312,Results/exp_3.0_4_1_250.csv
0,380,190,190,285,50,95,4,1,1.0,3.0,0.9242021276595744,0.9052631578947368,0.9073581560283688,0.8631578947368421,0.8643617021276596,0.8736842105263158,-0.0429964539007091,-0.0598404255319149,Results/exp_3.0_4_1_50.csv
0,380,190,190,285,100,95,4,2,1.0,3.0,0.9242021276595744,0.9052631578947368,0.9179964539007092,0.8736842105263158,0.9033687943262412,0.8736842105263158,-0.0146276595744679,-0.0208333333333333,Results/exp_3.0_4_2_100.csv
0,380,190,190,285,150,95,4,2,1.0,3.0,0.9242021276595744,0.9052631578947368,0.9206560283687945,0.8947368421052632,0.9277482269503546,0.8736842105263158,0.0070921985815602,0.00354609929078,Results/exp_3.0_4_2_150.csv
0,380,190,190,285,200,95,4,2,1.0,3.0,0.9242021276595744,0.9052631578947368,0.9250886524822696,0.9052631578947368,0.8945035460992907,0.8736842105263158,-0.0305851063829787,-0.0296985815602838,Results/exp_3.0_4_2_200.csv
0,380,190,190,285,250,95,4,2,1.0,3.0,0.9242021276595744,0.9052631578947368,0.922872340425532,0.8947368421052632,0.9140070921985816,0.8736842105263158,-0.0088652482269503,-0.0101950354609929,Results/exp_3.0_4_2_250.csv
0,380,190,190,285,50,95,4,2,1.0,3.0,0.9242021276595744,0.9052631578947368,0.9073581560283688,0.8631578947368421,0.8687943262411346,0.8631578947368421,-0.0385638297872341,-0.0554078014184399,Results/exp_3.0_4_2_50.csv
0,380,190,190,285,100,95,4,3,1.0,3.0,0.9242021276595744,0.9052631578947368,0.9179964539007092,0.8736842105263158,0.8896276595744681,0.8736842105263158,-0.028368794326241,-0.0345744680851064,Results/exp_3.0_4_3_100.csv
0,380,190,190,285,150,95,4,3,1.0,3.0,0.9242021276595744,0.9052631578947368,0.9206560283687945,0.8947368421052632,0.93572695035461,0.8842105263157894,0.0150709219858156,0.0115248226950354,Results/exp_3.0_4_3_150.csv
0,380,190,190,285,200,95,4,3,1.0,3.0,0.9242021276595744,0.9052631578947368,0.9250886524822696,0.9052631578947368,0.9188829787234042,0.8736842105263158,-0.0062056737588652,-0.0053191489361703,Results/exp_3.0_4_3_200.csv
0,380,190,190,285,250,95,4,3,1.0,3.0,0.9242021276595744,0.9052631578947368,0.922872340425532,0.8947368421052632,0.9060283687943262,0.8842105263157894,-0.0168439716312056,-0.0181737588652483,Results/exp_3.0_4_3_250.csv
0,380,190,190,285,50,95,4,3,1.0,3.0,0.9242021276595744,0.9052631578947368,0.9073581560283688,0.8631578947368421,0.8772163120567376,0.8736842105263158,-0.0301418439716312,-0.0469858156028369,Results/exp_3.0_4_3_50.csv
0,380,190,190,285,100,95,6,1,1.0,3.0,0.9179964539007092,0.8842105263157894,0.912677304964539,0.8631578947368421,0.8727836879432626,0.8736842105263158,-0.0398936170212764,-0.0452127659574467,Results/exp_3.0_6_1_100.csv
0,380,190,190,285,150,95,6,1,1.0,3.0,0.9179964539007092,0.8842105263157894,0.917109929078014,0.9052631578947368,0.8958333333333334,0.8736842105263158,-0.0212765957446807,-0.0221631205673759,Results/exp_3.0_6_1_150.csv
0,380,190,190,285,200,95,6,1,1.0,3.0,0.9179964539007092,0.8842105263157894,0.9215425531914894,0.8842105263157894,0.8754432624113475,0.8736842105263158,-0.0460992907801418,-0.0425531914893617,Results/exp_3.0_6_1_200.csv
0,380,190,190,285,250,95,6,1,1.0,3.0,0.9179964539007092,0.8842105263157894,0.9215425531914894,0.8842105263157894,0.8976063829787234,0.8736842105263158,-0.0239361702127659,-0.0203900709219858,Results/exp_3.0_6_1_250.csv
0,380,190,190,285,50,95,6,1,1.0,3.0,0.9179964539007092,0.8842105263157894,0.9162234042553192,0.8421052631578947,0.8816489361702128,0.8736842105263158,-0.0345744680851063,-0.0363475177304964,Results/exp_3.0_6_1_50.csv
0,380,190,190,285,100,95,6,2,1.0,3.0,0.9179964539007092,0.8842105263157894,0.912677304964539,0.8631578947368421,0.9091312056737588,0.8736842105263158,-0.0035460992907802,-0.0088652482269504,Results/exp_3.0_6_2_100.csv
0,380,190,190,285,150,95,6,2,1.0,3.0,0.9179964539007092,0.8842105263157894,0.917109929078014,0.9052631578947368,0.8882978723404255,0.8736842105263158,-0.0288120567375886,-0.0296985815602838,Results/exp_3.0_6_2_150.csv
0,380,190,190,285,200,95,6,2,1.0,3.0,0.9179964539007092,0.8842105263157894,0.9215425531914894,0.8842105263157894,0.8874113475177305,0.8736842105263158,-0.0341312056737588,-0.0305851063829787,Results/exp_3.0_6_2_200.csv
0,380,190,190,285,250,95,6,2,1.0,3.0,0.9179964539007092,0.8842105263157894,0.9215425531914894,0.8842105263157894,0.8865248226950355,0.8736842105263158,-0.0350177304964538,-0.0314716312056737,Results/exp_3.0_6_2_250.csv
0,380,190,190,285,50,95,6,2,1.0,3.0,0.9179964539007092,0.8842105263157894,0.9162234042553192,0.8421052631578947,0.8594858156028369,0.8736842105263158,-0.0567375886524822,-0.0585106382978724,Results/exp_3.0_6_2_50.csv
0,380,190,190,285,100,95,6,3,1.0,3.0,0.9179964539007092,0.8842105263157894,0.912677304964539,0.8631578947368421,0.8918439716312058,0.8736842105263158,-0.0208333333333332,-0.0261524822695035,Results/exp_3.0_6_3_100.csv
0,380,190,190,285,150,95,6,3,1.0,3.0,0.9179964539007092,0.8842105263157894,0.917109929078014,0.9052631578947368,0.87677304964539,0.8736842105263158,-0.040336879432624,-0.0412234042553192,Results/exp_3.0_6_3_150.csv
0,380,190,190,285,200,95,6,3,1.0,3.0,0.9179964539007092,0.8842105263157894,0.9215425531914894,0.8842105263157894,0.8998226950354611,0.8842105263157894,-0.0217198581560282,-0.0181737588652481,Results/exp_3.0_6_3_200.csv
0,380,190,190,285,250,95,6,3,1.0,3.0,0.9179964539007092,0.8842105263157894,0.9215425531914894,0.8842105263157894,0.9069148936170212,0.8842105263157894,-0.0146276595744681,-0.011081560283688,Results/exp_3.0_6_3_250.csv
0,380,190,190,285,50,95,6,3,1.0,3.0,0.9179964539007092,0.8842105263157894,0.9162234042553192,0.8421052631578947,0.9069148936170212,0.8736842105263158,-0.0093085106382978,-0.011081560283688,Results/exp_3.0_6_3_50.csv
0,380,190,190,285,100,95,8,1,1.0,3.0,0.9175531914893617,0.8842105263157894,0.9073581560283688,0.8526315789473684,0.8346631205673758,0.8736842105263158,-0.0726950354609929,-0.0828900709219858,Results/exp_3.0_8_1_100.csv
0,380,190,190,285,150,95,8,1,1.0,3.0,0.9175531914893617,0.8842105263157894,0.911790780141844,0.8947368421052632,0.8670212765957446,0.8736842105263158,-0.0447695035460993,-0.050531914893617,Results/exp_3.0_8_1_150.csv
0,380,190,190,285,200,95,8,1,1.0,3.0,0.9175531914893617,0.8842105263157894,0.9029255319148936,0.8736842105263158,0.8625886524822695,0.8736842105263158,-0.040336879432624,-0.0549645390070921,Results/exp_3.0_8_1_200.csv
0,380,190,190,285,250,95,8,1,1.0,3.0,0.9175531914893617,0.8842105263157894,0.9179964539007092,0.8842105263157894,0.8781028368794326,0.8736842105263158,-0.0398936170212766,-0.039450354609929,Results/exp_3.0_8_1_250.csv
0,380,190,190,285,50,95,8,1,1.0,3.0,0.9175531914893617,0.8842105263157894,0.9100177304964538,0.8421052631578947,0.8745567375886525,0.8736842105263158,-0.0354609929078013,-0.0429964539007091,Results/exp_3.0_8_1_50.csv
0,380,190,190,285,100,95,8,2,1.0,3.0,0.9175531914893617,0.8842105263157894,0.9073581560283688,0.8526315789473684,0.9113475177304964,0.8736842105263158,0.0039893617021276,-0.0062056737588652,Results/exp_3.0_8_2_100.csv
0,380,190,190,285,150,95,8,2,1.0,3.0,0.9175531914893617,0.8842105263157894,0.911790780141844,0.8947368421052632,0.8936170212765957,0.8736842105263158,-0.0181737588652481,-0.0239361702127659,Results/exp_3.0_8_2_150.csv
0,380,190,190,285,200,95,8,2,1.0,3.0,0.9175531914893617,0.8842105263157894,0.9029255319148936,0.8736842105263158,0.8772163120567376,0.8736842105263158,-0.0257092198581559,-0.040336879432624,Results/exp_3.0_8_2_200.csv
0,380,190,190,285,250,95,8,2,1.0,3.0,0.9175531914893617,0.8842105263157894,0.9179964539007092,0.8842105263157894,0.8789893617021277,0.8736842105263158,-0.0390070921985815,-0.0385638297872339,Results/exp_3.0_8_2_250.csv
0,380,190,190,285,50,95,8,2,1.0,3.0,0.9175531914893617,0.8842105263157894,0.9100177304964538,0.8421052631578947,0.8843085106382979,0.8736842105263158,-0.0257092198581559,-0.0332446808510638,Results/exp_3.0_8_2_50.csv
